X	Y
16.75156509097538	12.846965959363514
32.093276996471666	35.40776537119908
33.4264339220537	32.30465078553214
36.012622575118996	75.43665473943199
38.59608008414082	33.05192606015845
45.55391760932758	37.61948746210011
47.527089545635654	66.61972185728648
48.031155304057094	75.27150350768518
52.491146256627616	42.706098954944096
55.805214021433414	42.750680482109445
59.338602177123775	48.204345078131745
62.178725257546525	47.24336707650596
62.77135697756209	78.67982572529696
66.88224783135033	47.50090588895529
67.64004526011716	79.48893636086534
69.75738159213783	49.86009083660623
71.68714421910103	28.783372227565145
72.20398038792626	29.785264276333233
73.44395779785124	62.62880498210729
78.14594023819694	51.54316443546801
80.71278326483997	59.577306397092016
4.0	44.0
7.0	94.0
9.0	62.0
16.0	100.0
19.0	41.0
19.0	64.0
24.0	44.0
24.0	77.0
30.0	66.0
34.0	16.0
39.0	3.0
39.0	91.0
44.0	6.0
62.0	88.0
71.0	102.0
74.0	17.0
78.0	105.0
80.0	103.0
84.0	12.0
84.0	31.0
85.0	22.0
86.0	71.0
87.0	25.0
87.0	80.0
87.0	88.0
90.0	74.0
99.0	85.0
100.0	80.0
102.0	5.0
102.0	69.0
103.0	54.0
104.0	10.0
104.0	33.0
107.0	46.0
107.0	100.0
